complaint_id,transaction_id,merchant_id,complaint_type,complaint_date
111,57275,9,Poor service,01-09-2024
112,59699,22,Overcharge,15-01-2024
113,25165,34,Wrong item,15-10-2024
114,50264,59,Overcharge,15-06-2025
115,36403,133,Damaged item,10-06-2025
116,33737,3,Late delivery,04-02-2024
117,39959,109,Late delivery,06-05-2024
118,13088,38,Wrong item,17-04-2025
119,53930,140,Damaged item,21-05-2024
120,44791,124,Damaged item,28-10-2025
121,29798,197,Damaged item,02-07-2025
122,41106,174,Late delivery,07-08-2024
123,31326,120,Poor service,22-11-2024
124,22657,181,Poor service,06-03-2024
125,22391,7,Overcharge,17-11-2025
126,35653,122,Late delivery,25-12-2024
127,29821,100,Wrong item,08-05-2024
128,25634,167,Poor service,30-05-2025
129,45960,163,Overcharge,13-12-2025
130,59049,189,Damaged item,25-12-2024
131,30632,52,Overcharge,24-03-2025
132,19289,97,Poor service,07-12-2024
133,53483,158,Poor service,13-02-2024
134,10261,123,Late delivery,05-06-2024
135,35143,40,Late delivery,22-08-2025
136,20362,96,Wrong item,20-10-2024
137,9006,187,Wrong item,04-05-2025
138,48163,68,Late delivery,16-03-2025
139,13773,22,Late delivery,12-10-2024
140,59569,90,Wrong item,25-12-2025
141,15424,65,Damaged item,16-07-2025
142,37361,39,Damaged item,19-10-2024
143,49263,33,Damaged item,26-01-2024
144,21905,11,Damaged item,14-04-2025
145,37751,160,Late delivery,30-05-2025
146,19336,52,Overcharge,02-10-2025
147,20239,110,Late delivery,21-08-2025
148,59633,115,Damaged item,27-02-2025
149,58745,189,Poor service,07-07-2024
150,52247,51,Late delivery,21-10-2025
151,50911,182,Damaged item,22-09-2024
152,20863,71,Late delivery,13-01-2024
153,48418,152,Poor service,13-09-2025
154,56555,139,Wrong item,26-01-2025
155,567,7,Wrong item,20-08-2025
156,20105,146,Poor service,12-01-2025
157,56542,40,Overcharge,16-06-2024
158,10850,126,Late delivery,27-06-2024
159,47799,154,Overcharge,14-07-2025
160,26566,38,Wrong item,18-01-2025
161,27508,82,Poor service,03-02-2025
162,40438,164,Poor service,29-12-2025
163,7617,115,Late delivery,16-11-2025
164,42882,152,Late delivery,30-05-2025
165,11651,108,Damaged item,16-04-2024
166,5682,3,Damaged item,20-01-2024
167,2589,140,Poor service,21-09-2024
168,31776,90,Overcharge,07-08-2025
169,40236,147,Late delivery,30-03-2024
170,54795,197,Damaged item,26-09-2024
171,54212,6,Poor service,03-11-2024
172,17561,122,Late delivery,27-04-2024
173,12991,156,Late delivery,23-06-2024
174,54520,190,Poor service,16-01-2025
175,59231,148,Late delivery,20-09-2024
176,51409,128,Damaged item,12-01-2024
177,9241,49,Wrong item,06-07-2024
178,46731,16,Poor service,05-07-2024
179,36497,144,Wrong item,13-02-2024
180,41671,108,Poor service,26-06-2024
181,23533,112,Damaged item,18-06-2024
182,41009,64,Overcharge,07-11-2025
183,13592,173,Poor service,25-03-2024
184,17534,42,Wrong item,20-05-2024
185,32923,55,Late delivery,01-01-2024
186,19128,199,Damaged item,16-10-2025
187,41630,8,Wrong item,25-03-2025
188,31801,146,Poor service,17-10-2024
189,1902,196,Damaged item,17-02-2025
190,33658,101,Wrong item,10-05-2024
191,51707,161,Overcharge,26-11-2025
192,3589,162,Overcharge,16-09-2024
193,29250,32,Overcharge,17-05-2025
194,15026,18,Overcharge,21-08-2025
195,12295,191,Damaged item,09-02-2024
196,30272,176,Poor service,04-03-2025
197,5425,73,Wrong item,20-04-2025
198,16224,83,Overcharge,10-08-2024
199,55152,151,Overcharge,02-10-2024
200,31527,69,Poor service,23-02-2025
201,42467,78,Late delivery,24-02-2024
202,21096,195,Damaged item,23-08-2024
203,13439,187,Poor service,25-09-2024
204,47734,32,Overcharge,02-10-2024
205,58888,148,Damaged item,16-08-2024
206,326,53,Overcharge,23-07-2025
207,3269,15,Poor service,27-07-2025
208,29902,45,Late delivery,19-07-2024
209,677,144,Overcharge,08-02-2024
210,2248,106,Poor service,13-11-2024
211,55002,127,Late delivery,12-08-2024
212,25786,37,Overcharge,15-10-2025
213,11683,108,Late delivery,02-02-2024
214,41926,154,Wrong item,24-12-2024
215,16236,148,Late delivery,09-03-2025
216,34940,145,Late delivery,28-02-2024
217,27886,156,Overcharge,04-03-2024
218,42315,123,Damaged item,01-01-2024
219,21879,190,Poor service,22-02-2024
220,29095,76,Overcharge,05-10-2025
221,3840,63,Damaged item,28-03-2025
222,2221,160,Damaged item,11-07-2025
223,21551,107,Late delivery,08-02-2024
224,26311,197,Wrong item,22-08-2024
225,16835,99,Wrong item,06-02-2025
226,38911,184,Overcharge,12-09-2024
227,48188,137,Overcharge,08-06-2024
228,5447,39,Poor service,22-04-2025
229,30271,102,Late delivery,22-11-2024
230,37803,60,Poor service,29-09-2024
231,24340,176,Late delivery,29-06-2024
232,28493,171,Damaged item,09-06-2024
233,16162,106,Damaged item,08-09-2025
234,6726,64,Wrong item,07-12-2024
235,51300,170,Wrong item,13-04-2025
236,21636,137,Damaged item,24-06-2024
237,57470,15,Poor service,22-04-2025
238,47937,13,Wrong item,28-01-2025
239,53459,147,Damaged item,17-09-2024
240,37752,112,Overcharge,15-07-2024
241,25756,74,Damaged item,03-10-2025
242,4258,135,Damaged item,04-02-2025
243,44544,172,Poor service,18-06-2025
244,10207,46,Late delivery,01-11-2024
245,59205,70,Late delivery,24-07-2025
246,10395,19,Wrong item,07-02-2024
247,58924,37,Wrong item,09-02-2025
248,55550,171,Poor service,25-12-2025
249,16106,177,Late delivery,24-06-2024
250,47720,186,Late delivery,31-03-2024
251,55643,134,Wrong item,31-05-2024
252,8692,193,Poor service,21-09-2024
253,36883,33,Poor service,16-04-2025
254,37037,65,Wrong item,18-01-2024
255,34104,16,Damaged item,03-12-2025
256,36071,30,Poor service,30-07-2025
257,17869,3,Late delivery,01-07-2025
258,3789,78,Late delivery,23-10-2025
259,14209,51,Wrong item,08-11-2025
260,59944,49,Poor service,06-12-2024
261,1597,186,Wrong item,27-07-2024
262,47537,58,Damaged item,12-02-2024
263,59067,177,Overcharge,15-09-2025
264,33902,9,Damaged item,17-10-2024
265,32857,111,Overcharge,26-08-2024
266,787,184,Overcharge,21-07-2025
267,37914,132,Wrong item,10-01-2025
268,18690,68,Poor service,07-04-2024
269,38329,49,Late delivery,21-09-2025
270,11007,192,Late delivery,14-08-2025
271,59618,56,Poor service,09-12-2024
272,59270,29,Overcharge,25-09-2024
273,34670,56,Wrong item,20-08-2025
274,12797,21,Late delivery,26-07-2025
275,38298,168,Damaged item,01-07-2024
276,22409,58,Damaged item,02-03-2025
277,53329,153,Wrong item,09-05-2024
278,56336,75,Wrong item,27-06-2025
279,1505,10,Overcharge,11-04-2024
280,4029,77,Late delivery,13-01-2024
281,26257,114,Overcharge,22-04-2025
282,15352,99,Late delivery,23-07-2024
283,18201,18,Poor service,28-01-2024
284,39930,115,Damaged item,15-11-2025
285,57176,194,Poor service,11-04-2025
286,27141,64,Damaged item,29-09-2025
287,24679,57,Poor service,18-04-2025
288,45020,26,Poor service,24-05-2025
289,32135,63,Damaged item,24-04-2024
290,36619,111,Poor service,15-05-2024
291,47087,122,Overcharge,21-10-2025
292,57735,23,Damaged item,23-03-2025
293,6446,96,Poor service,16-01-2025
294,180,164,Late delivery,08-05-2025
295,7369,117,Late delivery,09-12-2024
296,40558,77,Late delivery,12-10-2025
297,12174,159,Poor service,17-04-2024
298,51690,11,Overcharge,24-04-2025
299,48392,87,Poor service,08-08-2025
300,46632,56,Damaged item,05-08-2025
301,57482,72,Damaged item,29-08-2025
302,49,200,Poor service,02-11-2025
303,20928,159,Overcharge,23-08-2024
304,46876,147,Overcharge,19-08-2025
305,33483,112,Damaged item,17-01-2024
306,25321,155,Overcharge,31-07-2025
307,42612,183,Overcharge,28-02-2024
308,30583,164,Poor service,22-11-2024
309,730,67,Damaged item,16-05-2024
310,31700,81,Overcharge,27-04-2025
311,21849,102,Wrong item,03-10-2025
312,20559,15,Wrong item,19-06-2025
313,29619,176,Overcharge,20-02-2024
314,961,40,Late delivery,23-04-2025
315,23306,137,Damaged item,16-01-2024
316,11318,170,Overcharge,25-02-2025
317,66,51,Overcharge,16-12-2025
318,55169,75,Overcharge,21-09-2025
319,2787,61,Poor service,16-01-2024
320,37575,99,Late delivery,20-08-2025
321,55630,7,Poor service,30-09-2024
322,34078,9,Wrong item,23-07-2025
323,30267,158,Overcharge,19-05-2024
324,52131,100,Overcharge,27-09-2025
325,14399,160,Damaged item,02-04-2025
326,31720,82,Late delivery,06-12-2025
327,50634,53,Late delivery,01-11-2025
328,11572,15,Poor service,15-11-2025
329,43411,65,Damaged item,29-07-2025
330,52323,114,Poor service,18-09-2025
331,9325,157,Damaged item,05-05-2024
332,36768,191,Wrong item,24-10-2024
333,33865,140,Late delivery,07-03-2025
334,26198,26,Damaged item,23-09-2025
335,35763,60,Overcharge,08-11-2025
336,58405,157,Poor service,23-07-2025
337,56483,179,Poor service,22-12-2024
338,27526,33,Late delivery,22-03-2025
339,16859,86,Damaged item,13-11-2025
340,21912,197,Late delivery,14-01-2025
341,3949,23,Poor service,02-10-2025
342,42186,12,Poor service,09-01-2024
343,40793,191,Wrong item,03-06-2024
344,31903,130,Damaged item,19-08-2024
345,41021,120,Damaged item,02-03-2024
346,54350,15,Damaged item,14-11-2024
347,10678,193,Poor service,17-01-2024
348,3361,62,Poor service,26-08-2025
349,44979,47,Damaged item,22-08-2024
350,42891,143,Poor service,20-08-2025
351,34800,68,Late delivery,11-03-2024
352,40676,52,Overcharge,03-12-2024
353,54054,79,Wrong item,01-08-2024
354,48230,180,Late delivery,09-07-2025
355,14231,121,Damaged item,21-03-2025
356,49876,54,Overcharge,23-10-2024
357,46381,16,Damaged item,11-02-2025
358,51026,161,Overcharge,12-02-2024
359,57412,177,Wrong item,24-02-2025
360,53126,34,Late delivery,02-04-2024
361,18824,10,Wrong item,18-09-2025
362,7994,6,Late delivery,11-10-2024
363,47442,25,Poor service,22-12-2024
364,26779,113,Damaged item,20-07-2024
365,23087,187,Wrong item,13-05-2024
366,53323,9,Overcharge,14-12-2025
367,17267,90,Overcharge,02-03-2025
368,46145,165,Damaged item,17-03-2024
369,13766,74,Late delivery,01-02-2025
370,17048,175,Late delivery,10-02-2024
371,22074,125,Damaged item,02-12-2024
372,32053,171,Wrong item,28-03-2025
373,58422,64,Poor service,23-10-2025
374,46639,115,Overcharge,18-08-2024
375,43442,121,Wrong item,09-04-2025
376,28803,182,Overcharge,20-03-2024
377,440,94,Wrong item,21-06-2025
378,33522,96,Poor service,15-11-2024
379,25386,57,Wrong item,31-10-2024
380,13517,37,Poor service,21-04-2025
381,55052,156,Wrong item,10-11-2025
382,37920,15,Overcharge,12-06-2025
383,42079,144,Damaged item,19-07-2024
384,32560,151,Late delivery,29-04-2025
385,34454,87,Overcharge,16-03-2024
386,13251,80,Poor service,18-06-2024
387,46624,99,Late delivery,12-08-2025
388,30063,120,Damaged item,19-08-2024
389,30619,101,Wrong item,08-01-2024
390,1094,160,Damaged item,23-09-2025
391,24051,160,Damaged item,17-12-2024
392,53269,123,Poor service,19-08-2024
393,13155,87,Poor service,06-09-2025
394,790,134,Damaged item,28-05-2025
395,7975,19,Late delivery,05-05-2024
396,35319,97,Poor service,10-08-2025
397,26514,8,Late delivery,16-07-2024
398,58137,103,Poor service,27-01-2025
399,10123,138,Poor service,27-02-2025
400,21133,138,Late delivery,05-08-2025
401,15107,192,Damaged item,14-02-2025
402,3456,56,Damaged item,22-01-2025
403,16003,165,Damaged item,16-04-2025
404,1041,138,Late delivery,20-04-2024
405,11598,5,Damaged item,19-03-2025
406,14131,42,Overcharge,04-11-2024
407,23120,35,Wrong item,11-06-2024
408,42910,135,Wrong item,09-03-2024
409,19022,168,Poor service,28-06-2025
410,20544,150,Overcharge,03-12-2025
411,21098,73,Damaged item,03-11-2024
412,33940,21,Poor service,30-10-2024
413,19971,94,Wrong item,22-12-2025
414,33731,150,Damaged item,07-05-2025
415,58290,168,Late delivery,03-02-2025
416,7747,124,Poor service,14-03-2025
417,16737,56,Late delivery,09-04-2024
418,46247,157,Wrong item,30-08-2025
419,26985,91,Damaged item,04-08-2025
420,50248,21,Overcharge,18-01-2024
421,19253,36,Damaged item,10-04-2024
422,4070,88,Damaged item,01-09-2024
423,43153,126,Wrong item,30-12-2024
424,21730,17,Overcharge,23-12-2024
425,30792,91,Wrong item,07-12-2025
426,51475,108,Poor service,23-02-2025
427,55182,48,Wrong item,22-01-2025
428,10452,99,Wrong item,09-09-2025
429,56006,191,Overcharge,29-03-2025
430,18241,18,Damaged item,29-05-2024
431,28306,22,Poor service,17-06-2024
432,54900,63,Damaged item,21-08-2024
433,7674,190,Damaged item,10-11-2025
434,27011,148,Wrong item,05-03-2024
435,57057,143,Overcharge,24-07-2025
436,8203,80,Damaged item,18-03-2025
437,28011,177,Wrong item,05-05-2025
438,2950,27,Poor service,09-08-2025
439,26573,185,Wrong item,20-12-2024
440,52115,2,Poor service,28-11-2025
441,51471,160,Poor service,25-12-2025
442,23144,8,Poor service,19-06-2025
443,23946,169,Late delivery,21-02-2025
444,25409,33,Overcharge,07-08-2025
445,55243,103,Poor service,21-12-2025
446,7519,2,Late delivery,28-07-2025
447,58182,139,Poor service,07-07-2025
448,39764,187,Late delivery,13-03-2025
449,31047,180,Overcharge,16-05-2025
450,56511,171,Poor service,16-09-2024
451,5257,74,Overcharge,08-10-2024
452,53573,151,Wrong item,20-05-2024
453,39768,70,Poor service,03-04-2025
454,27020,69,Overcharge,22-10-2025
455,21021,85,Late delivery,26-04-2025
456,6684,193,Damaged item,03-12-2024
457,40743,140,Wrong item,12-11-2024
458,32794,195,Poor service,16-08-2025
459,56069,181,Damaged item,24-03-2024
460,10564,105,Late delivery,20-07-2024
461,55975,8,Damaged item,05-04-2025
462,41158,187,Damaged item,01-12-2024
463,29093,48,Poor service,21-08-2024
464,53537,123,Overcharge,03-01-2024
465,45542,125,Late delivery,27-12-2025
466,23825,7,Poor service,13-08-2024
467,21325,187,Poor service,06-01-2025
468,15251,73,Damaged item,24-07-2024
469,23672,51,Poor service,24-11-2025
470,53797,153,Overcharge,15-06-2025
471,43365,178,Overcharge,25-02-2024
472,6574,120,Damaged item,09-01-2025
473,31281,184,Poor service,13-11-2024
474,58710,123,Poor service,30-04-2024
475,29441,35,Damaged item,08-06-2024
476,57968,90,Late delivery,05-06-2024
477,38812,33,Late delivery,09-05-2025
478,1321,74,Damaged item,16-01-2024
479,8645,119,Overcharge,04-06-2025
480,40214,92,Wrong item,28-03-2025
481,11263,115,Poor service,08-08-2025
482,40758,7,Late delivery,27-12-2025
483,7627,197,Overcharge,11-12-2025
484,38788,143,Poor service,26-10-2025
485,56759,23,Poor service,08-07-2025
486,41716,187,Late delivery,25-10-2024
487,13572,42,Overcharge,07-03-2025
488,24736,14,Damaged item,16-07-2025
489,9714,115,Overcharge,19-06-2025
490,26694,99,Late delivery,20-07-2024
491,15816,12,Overcharge,18-06-2025
492,32453,199,Wrong item,14-02-2024
493,33649,113,Late delivery,07-07-2024
494,35731,120,Poor service,04-05-2025
495,18903,21,Damaged item,27-09-2025
496,17422,76,Poor service,24-03-2025
497,38232,151,Wrong item,16-02-2025
498,46263,124,Wrong item,19-11-2024
499,50369,179,Wrong item,24-03-2025
500,59133,124,Wrong item,04-12-2025
501,30259,74,Damaged item,16-06-2024
502,40487,28,Poor service,21-12-2025
503,8369,57,Poor service,07-10-2024
504,30090,130,Wrong item,20-03-2024
505,55828,101,Late delivery,01-11-2024
506,47261,187,Late delivery,30-03-2025
507,12087,23,Poor service,20-03-2024
508,10212,145,Wrong item,14-07-2024
509,10268,41,Damaged item,12-02-2024
510,1657,126,Overcharge,30-10-2024
511,15781,99,Poor service,21-11-2025
512,17639,25,Damaged item,21-11-2024
513,45569,8,Damaged item,10-08-2024
514,7729,47,Poor service,02-09-2024
515,16524,99,Wrong item,24-11-2024
516,5282,191,Poor service,22-11-2025
517,43625,6,Poor service,25-08-2025
518,37999,2,Wrong item,21-01-2024
519,2325,12,Damaged item,21-01-2024
520,40920,108,Late delivery,28-06-2025
521,9209,132,Poor service,17-07-2024
522,57270,69,Damaged item,06-07-2025
523,25469,84,Wrong item,16-03-2025
524,36561,162,Poor service,17-12-2025
525,9753,198,Poor service,27-06-2025
526,37908,39,Damaged item,22-11-2024
527,5369,137,Poor service,23-08-2024
528,29277,157,Overcharge,28-10-2025
529,22832,165,Overcharge,05-03-2024
530,48499,103,Late delivery,26-12-2025
531,21683,24,Wrong item,12-12-2024
532,23819,101,Overcharge,21-01-2024
533,32573,89,Damaged item,24-08-2024
534,30728,138,Late delivery,02-10-2024
535,18316,92,Overcharge,23-11-2024
536,25480,163,Overcharge,02-03-2024
537,2127,33,Damaged item,26-11-2024
538,5785,196,Damaged item,17-10-2024
539,36463,105,Poor service,22-05-2025
540,43576,186,Wrong item,22-11-2025
541,40821,104,Wrong item,15-06-2024
542,30381,46,Overcharge,07-07-2024
543,22191,104,Wrong item,23-04-2024
544,25788,58,Poor service,09-11-2025
545,56928,103,Wrong item,26-12-2025
546,8901,46,Late delivery,21-10-2025
547,2223,163,Poor service,11-01-2024
548,58711,178,Wrong item,13-08-2024
549,18865,1,Wrong item,02-04-2025
550,27197,188,Overcharge,05-09-2025
551,34477,117,Overcharge,30-05-2025
552,44009,36,Poor service,18-07-2024
553,19907,84,Overcharge,23-12-2025
554,7574,82,Poor service,26-05-2025
555,4200,100,Poor service,01-07-2024
556,29154,162,Wrong item,24-12-2024
557,35853,9,Poor service,08-04-2025
558,40757,183,Poor service,08-08-2025
559,21148,151,Wrong item,15-05-2025
560,19481,93,Wrong item,12-05-2024
561,843,88,Damaged item,03-11-2025
562,5859,86,Overcharge,19-09-2025
563,7525,84,Wrong item,03-08-2025
564,42102,107,Overcharge,24-07-2025
565,28126,85,Late delivery,18-12-2025
566,9718,164,Wrong item,10-07-2024
567,13137,98,Overcharge,24-09-2024
568,40679,36,Overcharge,09-03-2025
569,22476,199,Poor service,23-08-2025
570,47727,107,Poor service,01-08-2024
571,50781,31,Damaged item,18-01-2024
572,47776,15,Late delivery,05-09-2024
573,32895,99,Late delivery,21-01-2025
574,49498,160,Damaged item,10-03-2025
575,27422,182,Poor service,04-04-2024
576,24998,144,Overcharge,07-10-2025
577,2783,62,Wrong item,28-01-2025
578,59652,66,Wrong item,23-12-2024
579,13239,37,Poor service,28-05-2024
580,12904,52,Poor service,26-05-2025
581,55656,164,Wrong item,28-02-2025
582,33363,157,Poor service,21-03-2024
583,33285,89,Overcharge,28-05-2025
584,43539,113,Overcharge,04-03-2025
585,17257,142,Late delivery,16-12-2025
586,13826,3,Damaged item,09-12-2025
587,1601,31,Overcharge,24-08-2024
588,7694,87,Overcharge,12-05-2024
589,51580,182,Poor service,19-06-2024
590,32725,162,Wrong item,07-09-2025
591,6935,23,Overcharge,09-11-2025
592,12241,48,Poor service,23-05-2025
593,36245,39,Late delivery,08-12-2024
594,33505,27,Overcharge,04-04-2024
595,45368,97,Wrong item,31-10-2024
596,51348,149,Overcharge,03-05-2025
597,11342,11,Damaged item,30-09-2024
598,47775,59,Late delivery,08-07-2025
599,20085,155,Overcharge,10-09-2025
600,23716,55,Wrong item,12-05-2025
601,59429,144,Late delivery,27-03-2024
602,43801,183,Wrong item,12-01-2024
603,29976,181,Overcharge,28-08-2025
604,49360,169,Damaged item,18-09-2025
605,15547,150,Wrong item,26-05-2024
606,1839,139,Late delivery,10-11-2025
607,25454,133,Wrong item,07-09-2024
608,3070,164,Poor service,11-09-2024
609,27863,50,Wrong item,07-12-2025
610,4914,124,Overcharge,16-03-2025
611,36424,49,Damaged item,21-01-2025
612,26259,142,Wrong item,21-01-2025
613,10264,68,Poor service,07-09-2024
614,17817,60,Poor service,07-11-2025
615,25592,141,Late delivery,08-03-2024
616,32186,162,Damaged item,31-03-2025
617,47500,84,Overcharge,14-05-2024
618,22146,158,Late delivery,10-08-2024
619,57080,141,Wrong item,03-01-2025
620,51522,163,Overcharge,28-01-2025
621,53434,137,Damaged item,10-08-2024
622,41637,107,Wrong item,06-10-2024
623,33555,172,Late delivery,12-06-2024
624,21103,128,Overcharge,04-06-2025
625,21336,142,Late delivery,09-12-2025
626,36438,74,Damaged item,21-05-2024
627,50513,72,Wrong item,23-10-2025
628,37429,39,Wrong item,03-01-2025
629,39345,119,Poor service,19-01-2024
630,22080,28,Late delivery,30-12-2025
631,884,55,Late delivery,29-03-2025
632,17602,117,Damaged item,15-11-2024
633,32712,57,Wrong item,25-09-2024
634,16950,102,Poor service,19-11-2024
635,48599,76,Damaged item,31-10-2024
636,26685,133,Poor service,09-05-2024
637,9598,62,Wrong item,26-02-2025
638,10221,139,Wrong item,08-12-2025
639,51226,149,Poor service,07-01-2024
640,40879,183,Poor service,30-10-2025
641,52974,64,Overcharge,04-09-2024
642,37309,177,Overcharge,28-12-2024
643,17511,11,Wrong item,18-10-2025
644,45775,67,Late delivery,30-08-2024
645,59174,63,Wrong item,05-08-2025
646,17780,181,Overcharge,30-04-2024
647,3085,129,Late delivery,11-01-2024
648,8216,179,Poor service,08-03-2025
649,30731,88,Overcharge,08-01-2024
650,51203,190,Poor service,05-08-2024
651,50659,41,Damaged item,21-05-2025
652,38688,3,Poor service,22-12-2024
653,42706,198,Late delivery,18-06-2025
654,23766,29,Late delivery,19-11-2025
655,52389,166,Late delivery,08-04-2025
656,49785,60,Damaged item,13-11-2024
657,42182,36,Damaged item,24-11-2025
658,40255,83,Wrong item,27-06-2025
659,7,19,Late delivery,22-08-2025
660,53579,79,Late delivery,16-07-2024
661,58167,187,Wrong item,01-02-2025
662,24695,40,Damaged item,25-09-2025
663,46448,87,Poor service,14-08-2024
664,14742,108,Poor service,14-05-2025
665,10356,151,Overcharge,01-01-2025
666,45961,67,Late delivery,19-12-2024
667,13828,112,Wrong item,28-11-2024
668,11146,152,Late delivery,20-02-2024
669,18997,146,Poor service,13-12-2024
670,50799,123,Wrong item,04-03-2025
671,21699,171,Poor service,27-06-2025
672,24933,91,Damaged item,17-12-2024
673,41593,165,Overcharge,13-05-2025
674,40348,52,Overcharge,10-01-2025
675,26424,176,Damaged item,31-01-2025
676,44136,138,Poor service,06-08-2025
677,58571,7,Damaged item,02-06-2024
678,42317,142,Overcharge,13-08-2025
679,1535,181,Poor service,20-08-2025
680,820,57,Overcharge,07-10-2025
681,1886,113,Overcharge,13-11-2024
682,6703,66,Wrong item,18-04-2025
683,32879,60,Late delivery,05-04-2024
684,15831,89,Wrong item,20-06-2025
685,12109,165,Overcharge,10-11-2024
686,32035,198,Damaged item,09-11-2024
687,45084,46,Wrong item,08-07-2024
688,48334,99,Damaged item,17-02-2025
689,15148,16,Wrong item,24-03-2025
690,53708,83,Damaged item,23-07-2024
691,2561,67,Late delivery,12-07-2025
692,12315,164,Wrong item,12-02-2024
693,24764,101,Wrong item,27-04-2025
694,56621,179,Poor service,15-04-2024
695,35250,179,Damaged item,01-01-2025
696,51742,86,Late delivery,24-02-2025
697,47661,17,Wrong item,18-04-2025
698,43349,139,Late delivery,29-10-2025
699,59959,17,Wrong item,16-09-2024
700,1684,7,Poor service,21-07-2025
701,45722,178,Overcharge,19-09-2024
702,18927,187,Damaged item,15-02-2024
703,38573,46,Late delivery,03-11-2025
704,42409,52,Overcharge,19-04-2024
705,17298,134,Wrong item,15-09-2024
